County,Cases,Percentage,Published_date,Source,3
Cavan,941,+9,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Clare,558,+15,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Cork,2018,+54,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Donegal,873,+23,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Dublin,16608,+210,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Galway,702,+23,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Kerry,384,+4,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Kildare,2541,+4,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Kilkenny,454,+2,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Laois,442,No change,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Leitrim,116,+1,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Limerick,931,+6,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Longford,335,+2,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Louth,1027,+16,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Mayo,644,+4,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Meath,1038,+12,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Monaghan,643,+15,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Offaly,712,+2,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Roscommon,423,+8,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Sligo,175,+4,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Tipperary,774,+5,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Waterford,330,No change,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Westmeath,767,+3,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Wexford,374,+1,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Wicklow,896,+6,,https://www.gov.ie/en/press-release/95278-statement-from-the-national-public-health-emergency-team-monday-28-september/,
Carlow,281,No change,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Cavan,932,+1,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Clare,543,+3,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Cork,1964,+36,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Donegal,850,+37,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Dublin,16398,+104,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Galway,679,+4,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Kerry,380,No change,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Kildare,2537,+8,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Kilkenny,452,+6,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Laois,442,+6,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Leitrim,115,+1,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Limerick,925,+3,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Longford,333,+5,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Louth,1011,+8,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Mayo,640,No change,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Meath,1026,+3,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Monaghan,628,+5,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Offaly,710,+6,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Roscommon,415,+2,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Sligo,171,+1,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Tipperary,769,No change,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Waterford,330,+2,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Westmeath,764,+8,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Wexford,373,+5,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Wicklow,890,+1,,https://www.gov.ie/en/press-release/577b4-statement-from-the-national-public-health-emergency-team-sunday-27-september/,
Carlow,281,+2,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Cavan,931,+4,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Clare,543,+3,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Cork,1928,+32,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Donegal,813,+22,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Dublin,16294,+152,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Galway,675,+21,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Kerry,380,+9,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Kildare,2529,+11,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Kilkenny,446,No change,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Laois,436,No change,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Leitrim,114,No change,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Limerick,922,+6,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Longford,328,+3,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Louth,1009,+8,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Mayo,640,+5,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Meath,1023,+15,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Monaghan,623,+4,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Offaly,704,No change,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Roscommon,413,+4,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Sligo,170,No change,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Tipperary,769,+6,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Waterford,328,+3,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Westmeath,756,+7,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Wexford,368,+5,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Wicklow,889,+2,,https://www.gov.ie/en/press-release/e1b43-statement-from-the-national-public-health-emergency-team-saturday-26-september/,
Carlow,279,+1,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Cavan,927,+8,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Clare,540,+1,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Cork,1896,+34,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Donegal,791,+41,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Dublin,16142,+162,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Galway,654,+4,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Kerry,371,No change,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Kildare,2518,+12,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Kilkenny,446,+2,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Laois,436,No change,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Leitrim,114,+1,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Limerick,916,+6,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Longford,325,No change,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Louth,1001,+4,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Mayo,635,+1,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Meath,1008,+6,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Monaghan,619,+13,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Offaly,704,+4,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Roscommon,409,+6,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Sligo,170,No change,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Tipperary,763,+1,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Waterford,325,-1,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Westmeath,749,+4,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Wexford,363,+3,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Wicklow,887,+5,,https://www.gov.ie/en/press-release/ab751-statement-from-the-national-public-health-emergency-team-friday-25-september/,
Carlow,278,+1,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Cavan,919,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Clare,539,+3,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Cork,1862,+21,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Donegal,749,+30,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Dublin,15980,+98,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Galway,650,+22,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Kerry,371,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Kildare,2506,+9,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Kilkenny,444,+1,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Laois,436,+1,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Leitrim,113,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Limerick,910,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Longford,325,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Louth,997,+12,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Mayo,634,+1,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Meath,1002,+8,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Monaghan,606,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Offaly,700,+2,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Roscommon,403,+3,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Sligo,170,+1,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Tipperary,762,+2,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Waterford,326,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Westmeath,745,+1,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Wexford,360,No change,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Wicklow,882,+13,,https://www.gov.ie/en/press-release/37102-statement-from-the-national-public-health-emergency-team-thursday-24-september/,
Carlow,277,0.8,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+1
Cavan,919,2.8,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,No change
Clare,536,1.6,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+5
Cork,1841,5.5,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+34
Donegal,719,2.2,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+18
Dublin,15882,47.5,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+154
Galway,628,1.9,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+10
Kerry,371,1.1,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+3
Kildare,2497,7.5,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+29
Kilkenny,443,1.3,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+1
Laois,435,1.3,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+2
Leitrim,113,0.3,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+1
Limerick,910,2.7,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+6
Longford,325,1,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+2
Louth,985,2.9,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+10
Mayo,633,1.9,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+6
Meath,994,3,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+11
Monaghan,606,1.8,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+3
Offaly,698,2.1,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+3
Roscommon,400,1.2,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+6
Sligo,169,0.5,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,No change
Tipperary,760,2.3,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+1
Waterford,326,1,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+5
Westmeath,744,2.2,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+2
Wexford,360,1.1,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,No change
Wicklow,869,2.6,,https://www.gov.ie/en/press-release/94753-statement-from-the-national-public-health-emergency-team-wednesday-23-september-2020/,+6
Carlow,276,0.8,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Cavan,919,2.8,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Clare,531,1.6,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+2
Cork,1807,5.5,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+24
Donegal,701,2.1,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+21
Dublin,15717,47.5,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+71
Galway,618,1.9,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+11
Kerry,368,1.1,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,No change
Kildare,2468,7.5,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+16
Kilkenny,442,1.3,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+4
Laois,433,1.3,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,No change
Leitrim,112,0.3,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,-1
Limerick,904,2.7,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,No change
Longford,323,1,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,No change
Louth,975,2.9,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+4
Mayo,627,1.9,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Meath,983,3,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Monaghan,603,1.8,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Offaly,695,2.1,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Roscommon,394,1.2,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+8
Sligo,169,0.5,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Tipperary,759,2.3,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,No change
Waterford,321,1,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+7
Westmeath,742,2.2,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+1
Wexford,360,1.1,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,-1
Wicklow,863,2.6,,https://www.gov.ie/en/press-release/d1a69-statement-from-the-national-public-health-emergency-team-tuesday-22-september/,+3
Carlow,275,0.8,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+1
Cavan,918,2.8,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+2
Clare,529,1.6,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+6
Cork,1783,5.4,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+36
Donegal,680,2.1,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+19
Dublin,15646,47.5,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+241
Galway,607,1.8,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+12
Kerry,368,1.1,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+1
Kildare,2452,7.5,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+11
Kilkenny,438,1.3,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+1
Laois,433,1.3,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+4
Leitrim,113,0.3,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+2
Limerick,904,2.7,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+4
Longford,323,1,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,No change
Louth,971,3,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+7
Mayo,626,1.9,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,No change
Meath,982,3,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+11
Monaghan,602,1.8,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+9
Offaly,694,2.1,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+6
Roscommon,386,1.2,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+1
Sligo,168,0.5,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+3
Tipperary,759,2.3,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+2
Waterford,314,1,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+6
Westmeath,741,2.3,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+4
Wexford,361,1.1,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+2
Wicklow,860,2.6,,https://www.gov.ie/en/press-release/0b00b-statement-from-the-national-public-health-emergency-team-monday-21-september/,+5
Carlow,274,0.8,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+2
Cavan,916,2.8,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+4
Clare,523,1.6,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+4
Cork,1747,5.4,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+21
Donegal,661,2,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+19
Dublin,15405,47.3,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+166
Galway,595,1.8,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+2
Kerry,367,1.1,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+1
Kildare,2441,7.5,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+7
Kilkenny,437,1.3,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+3
Laois,429,1.3,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,No change
Leitrim,111,0.3,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,No change
Limerick,900,2.8,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+5
Longford,323,1,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,No change
Louth,964,3,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+5
Mayo,626,1.9,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+3
Meath,971,3,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+5
Monaghan,593,1.8,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+2
Offaly,688,2.1,,https://www.gov.ie/en/press-release/cf531-statement-from-the-national-public-health-emergency-team-sunday-20-september/,+7
